"","year","step","area","length","age","num","fleet"
"196",1983,1,"area1","allages","len67",31.29,"SpPal"
"197",1983,1,"area1","allages","len68",47.53,"SpPal"
"198",1983,1,"area1","allages","len69",6.18,"SpPal"
"199",1983,1,"area1","allages","len70",23.26,"SpPal"
"200",1983,1,"area1","allages","len71",10.93,"SpPal"
"201",1983,1,"area1","allages","len72",11.77,"SpPal"
"202",1983,1,"area1","allages","len73",27.1,"SpPal"
"203",1983,1,"area1","allages","len74",9.12,"SpPal"
"204",1983,1,"area1","allages","len75",5.58,"SpPal"
"205",1983,1,"area1","allages","len76",11.13,"SpPal"
"206",1983,1,"area1","allages","len77",4.85,"SpPal"
"207",1983,1,"area1","allages","len78",19.87,"SpPal"
"208",1983,1,"area1","allages","len79",3.54,"SpPal"
"209",1983,1,"area1","allages","len80",3.65,"SpPal"
"210",1983,1,"area1","allages","len81",0.96,"SpPal"
"211",1983,1,"area1","allages","len82",1.89,"SpPal"
"212",1983,1,"area1","allages","len83",2.44,"SpPal"
"213",1983,1,"area1","allages","len84",0.54,"SpPal"
"214",1983,1,"area1","allages","len85",1.62,"SpPal"
"215",1983,1,"area1","allages","len86",0,"SpPal"
"216",1983,1,"area1","allages","len87",0,"SpPal"
"217",1983,1,"area1","allages","len88",0,"SpPal"
"218",1983,1,"area1","allages","len89",4.16,"SpPal"
"219",1983,1,"area1","allages","len90",0,"SpPal"
"220",1983,1,"area1","allages","len91",1.32,"SpPal"
"221",1983,1,"area1","allages","len92",0,"SpPal"
"222",1983,1,"area1","allages","len93",0.81,"SpPal"
"223",1983,1,"area1","allages","len94",0,"SpPal"
"224",1983,1,"area1","allages","len95",0,"SpPal"
"225",1983,1,"area1","allages","len96",0,"SpPal"
"226",1983,1,"area1","allages","len97",0,"SpPal"
"227",1983,1,"area1","allages","len98",0,"SpPal"
"228",1983,1,"area1","allages","len99",0,"SpPal"
"229",1983,1,"area1","allages","len100",0,"SpPal"
"230",1983,1,"area1","allages","len101",0,"SpPal"
"231",1983,1,"area1","allages","len102",0,"SpPal"
"232",1983,1,"area1","allages","len103",0,"SpPal"
"233",1983,1,"area1","allages","len104",0,"SpPal"
"234",1983,1,"area1","allages","len105",0,"SpPal"
"235",1983,1,"area1","allages","len106",0,"SpPal"
"236",1983,1,"area1","allages","len107",0,"SpPal"
"237",1983,1,"area1","allages","len108",0,"SpPal"
"238",1983,1,"area1","allages","len109",0,"SpPal"
"239",1983,1,"area1","allages","len110",0,"SpPal"
"240",1983,1,"area1","allages","len111",0,"SpPal"
"241",1983,1,"area1","allages","len112",0,"SpPal"
"242",1983,1,"area1","allages","len113",0,"SpPal"
"243",1983,1,"area1","allages","len114",0,"SpPal"
"244",1983,1,"area1","allages","len115",0,"SpPal"
"245",1983,1,"area1","allages","len116",0,"SpPal"
"246",1983,1,"area1","allages","len117",0,"SpPal"
"247",1983,1,"area1","allages","len118",0,"SpPal"
"248",1983,1,"area1","allages","len119",0,"SpPal"
"249",1983,1,"area1","allages","len120",0,"SpPal"
"250",1983,1,"area1","allages","len121",0,"SpPal"
"251",1983,1,"area1","allages","len122",0,"SpPal"
"252",1983,1,"area1","allages","len123",0,"SpPal"
"253",1983,1,"area1","allages","len124",0,"SpPal"
"254",1983,1,"area1","allages","len125",0,"SpPal"
"255",1983,1,"area1","allages","len126",0,"SpPal"
"256",1983,1,"area1","allages","len127",0,"SpPal"
"257",1983,1,"area1","allages","len128",0,"SpPal"
"258",1983,1,"area1","allages","len129",0,"SpPal"
"259",1984,1,"area1","allages","len1",0,"SpPal"
"260",1984,1,"area1","allages","len2",0,"SpPal"
"261",1984,1,"area1","allages","len3",0,"SpPal"
"262",1984,1,"area1","allages","len4",0,"SpPal"
"263",1984,1,"area1","allages","len5",0,"SpPal"
"264",1984,1,"area1","allages","len6",0,"SpPal"
"265",1984,1,"area1","allages","len7",0,"SpPal"
"266",1984,1,"area1","allages","len8",0,"SpPal"
"267",1984,1,"area1","allages","len9",0,"SpPal"
"268",1984,1,"area1","allages","len10",0,"SpPal"
"269",1984,1,"area1","allages","len11",0,"SpPal"
"270",1984,1,"area1","allages","len12",0,"SpPal"
"271",1984,1,"area1","allages","len13",0,"SpPal"
"272",1984,1,"area1","allages","len14",0,"SpPal"
"273",1984,1,"area1","allages","len15",0,"SpPal"
"274",1984,1,"area1","allages","len16",0,"SpPal"
"275",1984,1,"area1","allages","len17",0,"SpPal"
"276",1984,1,"area1","allages","len18",0,"SpPal"
"277",1984,1,"area1","allages","len19",0,"SpPal"
"278",1984,1,"area1","allages","len20",0,"SpPal"
"279",1984,1,"area1","allages","len21",0,"SpPal"
"280",1984,1,"area1","allages","len22",0,"SpPal"
"281",1984,1,"area1","allages","len23",2.1,"SpPal"
"282",1984,1,"area1","allages","len24",0,"SpPal"
"283",1984,1,"area1","allages","len25",0,"SpPal"
"284",1984,1,"area1","allages","len26",0,"SpPal"
"285",1984,1,"area1","allages","len27",0,"SpPal"
"286",1984,1,"area1","allages","len28",0,"SpPal"
"287",1984,1,"area1","allages","len29",1,"SpPal"
"288",1984,1,"area1","allages","len30",1.6,"SpPal"
"289",1984,1,"area1","allages","len31",3.5,"SpPal"
"290",1984,1,"area1","allages","len32",2.7,"SpPal"
"291",1984,1,"area1","allages","len33",2.9,"SpPal"
"292",1984,1,"area1","allages","len34",7.5,"SpPal"
"293",1984,1,"area1","allages","len35",3.4,"SpPal"
"294",1984,1,"area1","allages","len36",3.9,"SpPal"
"295",1984,1,"area1","allages","len37",9.4,"SpPal"
"296",1984,1,"area1","allages","len38",16,"SpPal"
"297",1984,1,"area1","allages","len39",38.2,"SpPal"
"298",1984,1,"area1","allages","len40",65.7,"SpPal"
"299",1984,1,"area1","allages","len41",46.9,"SpPal"
"300",1984,1,"area1","allages","len42",114.5,"SpPal"
"301",1984,1,"area1","allages","len43",67.6,"SpPal"
"302",1984,1,"area1","allages","len44",217.8,"SpPal"
"303",1984,1,"area1","allages","len45",287.3,"SpPal"
"304",1984,1,"area1","allages","len46",407.4,"SpPal"
"305",1984,1,"area1","allages","len47",508.8,"SpPal"
"306",1984,1,"area1","allages","len48",510.7,"SpPal"
"307",1984,1,"area1","allages","len49",441.2,"SpPal"
"308",1984,1,"area1","allages","len50",559.5,"SpPal"
"309",1984,1,"area1","allages","len51",317.3,"SpPal"
"310",1984,1,"area1","allages","len52",392.4,"SpPal"
"311",1984,1,"area1","allages","len53",285.4,"SpPal"
"312",1984,1,"area1","allages","len54",369.9,"SpPal"
"313",1984,1,"area1","allages","len55",247.8,"SpPal"
"314",1984,1,"area1","allages","len56",322.9,"SpPal"
"315",1984,1,"area1","allages","len57",300.4,"SpPal"
"316",1984,1,"area1","allages","len58",268.5,"SpPal"
"317",1984,1,"area1","allages","len59",219.7,"SpPal"
"318",1984,1,"area1","allages","len60",152.1,"SpPal"
"319",1984,1,"area1","allages","len61",69.5,"SpPal"
"320",1984,1,"area1","allages","len62",120.2,"SpPal"
"321",1984,1,"area1","allages","len63",58.2,"SpPal"
"322",1984,1,"area1","allages","len64",80.7,"SpPal"
"323",1984,1,"area1","allages","len65",35.7,"SpPal"
"324",1984,1,"area1","allages","len66",37.6,"SpPal"
"325",1984,1,"area1","allages","len67",22.5,"SpPal"
"326",1984,1,"area1","allages","len68",41.3,"SpPal"
"327",1984,1,"area1","allages","len69",35.7,"SpPal"
"328",1984,1,"area1","allages","len70",41.3,"SpPal"
"329",1984,1,"area1","allages","len71",16.9,"SpPal"
"330",1984,1,"area1","allages","len72",33.8,"SpPal"
"331",1984,1,"area1","allages","len73",5.6,"SpPal"
"332",1984,1,"area1","allages","len74",28.2,"SpPal"
"333",1984,1,"area1","allages","len75",5.6,"SpPal"
